ARREST_DATE,count
05/13/2022,575
05/14/2021,371
05/14/2022,461
05/15/2021,332
05/15/2022,366
05/16/2021,317
05/16/2022,520
05/17/2021,316
05/17/2022,631
05/18/2021,497
05/18/2022,631
05/19/2021,562
05/19/2022,619
05/20/2021,494
05/20/2022,488
05/21/2021,416
05/21/2022,453
05/22/2021,354
05/22/2022,380
05/23/2021,313
05/23/2022,539
05/24/2021,365
05/24/2022,605
05/25/2021,514
05/25/2022,663
05/26/2021,464
05/26/2022,612
05/27/2021,417
05/27/2022,467
05/28/2021,331
05/28/2022,429
05/29/2021,238
05/29/2022,396
05/30/2021,233
05/30/2022,365
05/31/2021,298
05/31/2022,551
06/01/2021,538
06/01/2022,748
06/02/2021,565
06/02/2022,663
06/03/2021,558
06/03/2022,588
06/04/2021,405
06/04/2022,469
06/05/2021,333
06/05/2022,423
06/06/2021,332
06/06/2022,480
06/07/2021,374
06/07/2022,717
06/08/2021,507
06/08/2022,690
06/09/2021,614
06/09/2022,617
06/10/2021,617
06/10/2022,527
06/11/2021,370
06/11/2022,450
06/12/2021,327
06/12/2022,413
06/13/2021,294
06/13/2022,553
06/14/2021,386
06/14/2022,623
06/15/2021,450
06/15/2022,651
06/16/2021,582
06/16/2022,662
06/17/2021,572
06/17/2022,506
06/18/2021,453
06/18/2022,449
06/19/2021,340
06/19/2022,325
06/20/2021,290
06/20/2022,419
06/21/2021,379
06/21/2022,605
06/22/2021,378
06/22/2022,632
06/23/2021,542
06/23/2022,608
06/24/2021,492
06/24/2022,505
06/25/2021,371
06/25/2022,428
06/26/2021,330
06/26/2022,389
06/27/2021,248
06/27/2022,436
06/28/2021,284
06/28/2022,533
06/29/2021,455
06/29/2022,671
06/30/2021,464
06/30/2022,622
07/01/2021,534
07/01/2022,576
07/02/2021,414
07/02/2022,459
07/03/2021,364
07/03/2022,429
07/04/2021,254
07/04/2022,403
07/05/2021,353
07/05/2022,596
07/06/2021,464
07/06/2022,655
07/07/2021,496
07/07/2022,653
07/08/2021,581
07/08/2022,561
07/09/2021,387
07/09/2022,409
07/10/2021,339
07/10/2022,423
07/11/2021,306
07/11/2022,401
07/12/2021,402
07/12/2022,647
07/13/2021,522
07/13/2022,649
07/14/2021,632
07/14/2022,658
07/15/2021,531
07/15/2022,502
07/16/2021,427
07/16/2022,415
07/17/2021,341
07/17/2022,406
07/18/2021,333
07/18/2022,448
07/19/2021,401
07/19/2022,618
07/20/2021,525
07/20/2022,585
07/21/2021,552
07/21/2022,518
07/22/2021,627
07/22/2022,463
07/23/2021,425
07/23/2022,469
07/24/2021,408
07/24/2022,424
07/25/2021,365
07/25/2022,401
07/26/2021,402
07/26/2022,623
07/27/2021,476
07/27/2022,607
07/28/2021,506
07/28/2022,596
07/29/2021,529
07/29/2022,443
07/30/2021,321
07/30/2022,428
07/31/2021,344
07/31/2022,328
08/01/2021,322
08/01/2022,381
08/02/2021,368
08/02/2022,429
08/03/2021,478
08/03/2022,457
08/04/2021,596
08/04/2022,566
08/05/2021,557
08/05/2022,488
08/06/2021,461
08/06/2022,449
08/07/2021,378
08/07/2022,436
08/08/2021,315
08/08/2022,400
08/09/2021,424
08/09/2022,592
08/10/2021,557
08/10/2022,682
08/11/2021,566
08/11/2022,582
08/12/2021,557
08/12/2022,565
08/13/2021,488
08/13/2022,409
08/14/2021,407
08/14/2022,404
08/15/2021,347
08/15/2022,443
08/16/2021,354
08/16/2022,598
08/17/2021,547
08/17/2022,612
08/18/2021,543
08/18/2022,598
08/19/2021,620
08/19/2022,519
08/20/2021,430
08/20/2022,423
08/21/2021,319
08/21/2022,352
